StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q101,Gender,Age,Ethnicity1,Ethnicity1_6_TEXT,Education,Familiar_1,Comfortable_1,Text Entry _1,Text Entry _2,Text Entry _3,Text Entry _4,Expression A: choice,Q80,Expression B: choice,Q82,Expression C: choice,Q83,Expression D: choice,Q84,Confidence: DOP,Confidence SOA,Fear DOP ,Fear DOS,Fear_NOP,Fear_NOR,Fear_SOA,Fear_SOR,Q79,Curious DOP,Curious DOT,Curious LAH,Curious LAV,Curious SOA,Curious SOT,Hesitant_DOP,Hesitant_DOR,Hesitant_DOT,Hesitant_NOR,Hesitant_SOA,Hesitant_SOR
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent Form,What is your gender?,What is your age?,What ethnicity would you describe yourself as? - Selected Choice,What ethnicity would you describe yourself as? - Other - Text,What is the highest degree or level of school you have completed?,How familiar are you with robots? - Familiarity,How comfortable are you in working with robots? - Comfort,"(Optional) For each expression, what words would you use to describe the mental state of the robot? - Expression A","(Optional) For each expression, what words would you use to describe the mental state of the robot? - Expression C","(Optional) For each expression, what words would you use to describe the mental state of the robot? - Expression D","(Optional) For each expression, what words would you use to describe the mental state of the robot? - Expression B",Select the mental state of the robot that best matches Expression A,"If other, then please enter the mental state that best matches Expression A",Select the mental state of the robot that best matches Expression B,"If other, then please enter the mental state that best matches Expression B",Select the mental state of the robot that best matches Expression C,"If other, then please enter the mental state that best matches Expression C",Select the mental state of the robot that best matches Expression D,"If other, then please enter the mental state that best matches Expression D",Which robot appears more confident?,Which robot appears more confident?,Which robot appears more fearful?,Which robot appears more fearful?,Which robot appears more fearful?,Which robot appears more fearful?,Which robot appears more fearful?,Which robot appears more fearful?,Please enter your birth year,Which robot appears more curious?,Which robot appears more curious?,Which robot appears more curious?,Which robot appears more curious?,Which robot appears more curious?,Which robot appears more curious?,Which robot appears more hesitant?,Which robot appears more hesitant?,Which robot appears more hesitant?,Which robot appears more hesitant?,Which robot appears more hesitant?,Which robot appears more hesitant?
"{""ImportId"":""startDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID110""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID55""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID66""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76""}","{""ImportId"":""QID75""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID70""}","{""ImportId"":""QID72""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}"
28/9/2025 22:01,28/9/2025 22:15,100,870,TRUE,28/9/2025 22:15,R_9ZK7DQE86ohjL13,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,29,Indian,,Master's degree or equivalent,Not Familiar,Moderately Comfortable,Confident ,Cautious ,Scared,Under confident,Confidence,,Hesitation,,Fear,,Curiosity,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1996,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
2/10/2025 9:57,2/10/2025 10:13,100,948,TRUE,2/10/2025 10:13,R_4GW7kSMAbKcMD09,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,29,Indian,,Master's degree or equivalent,Very Familiar,Very Comfortable,Confident,Hesitant ,Cautious,Scared,Confidence,,Hesitation,,Curiosity,,Fear,,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 2,1996,Robot 2,Robot 2,Robot 2,Robot 1,Robot 2,Both appear equally curious,Robot 2,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
2/10/2025 11:43,2/10/2025 11:58,100,896,TRUE,2/10/2025 11:58,R_9JhTPJLerQQmqOZ,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,50,Chinese,,Master's degree or equivalent,Moderately Familiar,Very Comfortable,,,Cautious ,Cautious ,Confidence,,None,,Hesitation,,Curiosity,,Both appear equally confident,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Robot 2,Neither appears fearful,Both appear equally fearful,1974,Both appear equally curious,Robot 2,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 1
2/10/2025 11:45,2/10/2025 12:01,100,976,TRUE,2/10/2025 12:01,R_9odaW2mNqLWmWRf,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,27,Indian,,Master's degree or equivalent,Moderately Familiar,Very Comfortable,Curious,Confident,Confused,Scared,Curiosity,,Confidence,,Hesitation,,Fear,,Both appear equally confident,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,Both appear equally fearful,1997,Both appear equally curious,Neither appears curious,Both appear equally curious,Robot 1,Robot 1,Neither appears curious,Robot 1,Robot 1,Neither appears hesitant,Robot 2,Both appear equally hesitant,Neither appears hesitant
2/10/2025 12:15,2/10/2025 12:27,100,712,TRUE,2/10/2025 12:27,R_9EjefzFS210UeQy,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Prefer not to say,20,Chinese,,High school degree or equivalent,Moderately Familiar,Moderately Comfortable,Curious and bold ,Curious and contemplative ,Curious but cautious ,Startled but curious ,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Both appear equally fearful,Robot 2,Both appear equally fearful,2005,Both appear equally curious,Robot 2,Robot 1,Robot 1,Robot 1,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 2
2/10/2025 12:22,2/10/2025 12:33,100,668,TRUE,2/10/2025 12:33,R_4xgYtzLBRaz0eYx,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Other,Japanese,High school degree or equivalent,Moderately Familiar,Very Comfortable,Comfortable,Slightly wary,Curious,Cautious,Confidence,,Fear,,Curiosity,,Hesitation,,Robot 1,Robot 1,Robot 2,Neither appears fearful,Robot 1,Robot 1,Robot 2,Robot 2,1999,Robot 1,Robot 2,Robot 2,Neither appears curious,Robot 1,Robot 2,Robot 1,Neither appears hesitant,Robot 1,Robot 2,Robot 1,Robot 2
2/10/2025 12:27,2/10/2025 12:40,100,723,TRUE,2/10/2025 12:40,R_9nOZZoWIH4plN3m,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Malay,,High school degree or equivalent,Slightly Familiar,Slightly Comfortable,Calm ,Cautious,Scared,High Alert,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,1998,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 1,Both appears equally hesitant,Robot 1,Robot 1,Robot 2,Robot 1,Robot 2
2/10/2025 12:22,2/10/2025 12:42,100,1153,TRUE,2/10/2025 12:42,R_4Es2ceEvkED48jp,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,28,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,confident,cautious,scared/fearful,curious,Confidence,,Hesitation,,Fear,,Curiosity,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,1997,Robot 2,Robot 2,Robot 2,Both appear equally curious,Robot 2,Both appear equally curious,Both appears equally hesitant,Robot 1,Robot 1,Robot 2,Robot 1,Robot 2
